Unnamed: 0,Player,height,weight,collage,born,birth_city,birth_state,salary
0,Curly Armstrong,180.0,77.0,Indiana University,1918.0,,,151627.0
1,Cliff Barker,188.0,83.0,University of Kentucky,1921.0,Yorktown,Indiana,227860.0
2,Leo Barnhorst,193.0,86.0,University of Notre Dame,1924.0,,,203963.0
3,Ed Bartels,196.0,88.0,North Carolina State University,1925.0,,,154848.0
4,Ralph Beard,178.0,79.0,University of Kentucky,1927.0,Hardinsburg,Kentucky,184953.0
5,Gene Berce,180.0,79.0,Marquette University,1926.0,,,238599.0
6,Charlie Black,196.0,90.0,University of Kansas,1921.0,Arco,Idaho,50973.0
7,Nelson Bobb,183.0,77.0,Temple University,1924.0,Philadelphia,Pennsylvania,204339.0
8,Jake Bornheimer,196.0,90.0,Muhlenberg College,1927.0,New Brunswick,New Jersey,146062.0
9,Vince Boryla,196.0,95.0,University of Denver,1927.0,East Chicago,Indiana,239349.0
10,Don Boven,193.0,95.0,Western Michigan University,1925.0,Kalamazoo,Michigan,60496.0
11,Harry Boykoff,208.0,102.0,St. John's University,1922.0,Brooklyn,New York,208410.0
12,Joe Bradley,190.0,79.0,Oklahoma State University,1928.0,Washington,Oklahoma,47319.0
13,Bob Brannum,196.0,97.0,Michigan State University,1925.0,,,124014.0
14,Carl Braun,196.0,81.0,Colgate University,1927.0,Brooklyn,New York,16280.0
15,Frankie Brian,185.0,81.0,Louisiana State University,1923.0,Zachary,Louisiana,133632.0
16,Price Brookfield,193.0,83.0,West Texas A&M University,1920.0,Floydada,Texas,100066.0
17,Bob Brown,193.0,92.0,Miami University,1923.0,Versailles,Ohio,44811.0
18,Jim Browne,208.0,106.0,,1930.0,Midlothian,Illinois,66493.0
19,Walt Budko,196.0,99.0,Columbia University,1925.0,Kearney,New Jersey,29142.0
20,Jack Burmaster,190.0,86.0,University of Illinois at Urbana-Champaign,1926.0,,,183975.0
21,Tommy Byrnes,190.0,79.0,Seton Hall University,1923.0,Teaneck,New Jersey,188478.0
22,Bill Calhoun,190.0,81.0,City College of San Francisco,1927.0,San Francisco,California,238348.0
23,Don Carlson,183.0,77.0,University of Minnesota,1919.0,Minneapolis,Minnesota,94095.0
24,Bob Carpenter,196.0,90.0,East Texas State University,1917.0,,,118256.0
25,Jake Carter,193.0,88.0,East Texas State University,1924.0,,,70395.0
26,Al Cervi*,180.0,77.0,,1917.0,Buffalo,New York,247832.0
27,John Chaney,190.0,83.0,Louisiana State University,1920.0,,,88794.0
28,Leroy Chollet,188.0,86.0,Canisius College,1925.0,New Orleans,Louisiana,186482.0
29,Bill Closs,196.0,88.0,Rice University,1922.0,Edge,Texas,246853.0
30,Paul Cloyd,188.0,81.0,University of Wisconsin,1920.0,,,194142.0
31,Jack Coleman,201.0,88.0,University of Louisville,1924.0,Burgin,Kentucky,44340.0
32,Bobby Cook,178.0,70.0,University of Wisconsin,1923.0,,,144322.0
33,Ray Corley,183.0,81.0,Georgetown University,1928.0,,,202484.0
34,Jack Cotton,201.0,90.0,University of Wyoming,1924.0,Miles City,Montana,232050.0
35,Dillard Crocker,193.0,92.0,Western Michigan University,1925.0,Coffee County,Tennessee,192537.0
36,Chink Crossin,185.0,74.0,University of Pennsylvania,1923.0,Luzerne,Pennsylvania,208571.0
37,Fran Curran,183.0,79.0,University of Notre Dame,1922.0,Sterling,Illinois,203124.0
38,Jimmy Darden,185.0,77.0,University of Denver,1922.0,,,135146.0
39,Bob Davies*,185.0,79.0,Seton Hall University,1920.0,Harrisburg,Pennsylvania,108187.0
40,Hook Dillon,190.0,81.0,University of North Carolina,1924.0,Savannah,Georgia,183791.0
41,Earl Dodd,196.0,79.0,Truman State University,1924.0,,,92382.0
42,Joe Dolhon,183.0,79.0,New York University,1927.0,,,36104.0
43,Bob Doll,196.0,88.0,University of Colorado,1919.0,Steamboat Springs,Colorado,39393.0
44,Harry Donovan,188.0,81.0,Muhlenberg College,1926.0,Union City,New Jersey,139698.0
45,Andy Duncan,198.0,88.0,College of William & Mary,1922.0,,,115137.0
46,Dike Eddleman,190.0,85.0,University of Illinois at Urbana-Champaign,1922.0,Centralia,Illinois,186746.0
47,Gene Englund,196.0,92.0,University of Wisconsin,1917.0,Kenosha,Wisconsin,196983.0
48,Bob Evans,188.0,79.0,Butler University,1925.0,Indianapolis,Indiana,138362.0
49,Johnny Ezersky,190.0,79.0,University of Rhode Island,1922.0,New York,New York,111463.0
50,Bob Feerick,190.0,86.0,Santa Clara University,1920.0,San Francisco,California,107810.0
